CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
10.240.186/0001-00;2022-01-01;5;121231;0;2;0;0;0.000000;0;0.000000;0;0.000000;2018-05-08
10.285.590/0001-08;2022-01-01;12;124245;39749;1080;815;490736222;62.534293;0;0.000000;490736222;62.534293;2022-04-29
10.319.900/0001-50;2022-01-01;2;120309;0;1;0;0;0.000000;0;0.000000;0;0.000000;2022-04-29
10.324.624/0001-18;2022-01-01;2;116243;0;1;0;0;0.000000;0;0.000000;0;0.000000;2021-11-08
10.338.320/0001-00;2022-01-01;5;125920;3086;172;102;862287;1.370000;0;0.000000;862287;1.370000;2022-04-18
10.440.482/0001-54;2022-01-01;7;122561;190502;322;15434;90675851;9.538000;97626954;10.658000;188302805;10.087000;2022-04-29
10.452.416/0001-02;2022-01-01;2;122397;2;1;0;0;0.000000;0;0.000000;0;0.000000;2022-10-03
10.464.223/0001-63;2022-01-01;1;116548;3;1;0;0;0.000000;0;0.000000;0;0.000000;2021-07-12
10.488.244/0001-19;2022-01-01;1;116229;0;2;0;10000;100.000000;0;0.000000;10000;100.000000;2013-12-27
10.502.676/0001-37;2022-01-01;4;121571;0;1;0;0;0.000000;0;0.000000;0;0.000000;2014-07-14
10.531.501/0001-58;2022-01-01;1;115703;0;1;0;4094242310;50.000000;4094242309;50.000000;8188484619;100.000000;2021-02-15
